BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,SiteEUIWN(kBtu/sf),buildingage,UsageCount,ParkingRatio,FloorDensity,DistanceToDowntown_km
NonResidential,Other,98101.0,7,DOWNTOWN,47.615,-122.33081,1.0,2,67224,0,Automobile Dealership,Automobile Dealership,Unknown,31733.045428599267,Unknown,12311.108329416667,19.5,95,1,0.0,2.9751279305010117e-05,0.9832821723552616
NonResidential,Hotel,98101.0,7,EAST,47.61301,-122.32929,1.0,8,158676,30301,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,Parking,42000.0,Retail Store,4500.0,46.29999924,34,4,0.19096145604880385,5.041720234944163e-05,0.7859917021142739
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.61784,-122.32966,1.0,10,171866,38281,Hotel,Hotel,Unknown,31733.045428599267,Unknown,12311.108329416667,86.69999695,24,1,0.22273748152630538,5.8184864952928445e-05,1.3071688954444172
NonResidential,Hotel,98121.0,7,DOWNTOWN,47.61558,-122.34186,1.0,5,68410,16200,Hotel,Hotel,Unknown,31733.045428599267,Unknown,12311.108329416667,95.0,47,1,0.2368074842859231,7.30887297178775e-05,1.2740359698081973
NonResidential,Small- and Mid-Sized Office,98070.0,4,LAKE UNION,47.6641,-122.33118,1.0,3,87262,0,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,69.80000305,119,4,0.0,3.437922577983544e-05,6.438555285482413
NonResidential,Hotel,98105.0,4,NORTHEAST,47.66583,-122.29965,1.0,4,81871,0,Hotel,Hotel,Unknown,31733.045428599267,Unknown,12311.108329416667,82.19999695,31,1,0.0,4.885734875596976e-05,7.0622879003744625
NonResidential,Self-Storage Facility,98105.0,4,NORTHEAST,47.66172,-122.29598,1.0,2,110356,0,Self-Storage Facility,Self-Storage Facility,Unknown,31733.045428599267,Unknown,12311.108329416667,12.39999962,70,1,0.0,1.812316502954076e-05,6.74074725838361
Campus,Mixed Use Property,98108.0,2,GREATER DUWAMISH,47.53493,-122.31788,1.0,3,494835,0,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,Laboratory,639931.0,Non-Refrigerated Warehouse,459748.0,233.1000061,33,5,0.0,6.062626936251478e-06,7.996343442706254
NonResidential,Warehouse,98118.0,2,GREATER DUWAMISH,47.51138,-122.28875,3.0,2,714095,0,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,Refrigerated Warehouse,276000.0,Office,71000.0,45.79999924,64,3,0.0,2.8007477996625098e-06,11.033893075110885
NonResidential,Small- and Mid-Sized Office,98107.0,6,BALLARD,47.66587,-122.38476,1.0,2,94900,0,"Non-Refrigerated Warehouse, Office",Office,Non-Refrigerated Warehouse,39314.0,Unknown,12311.108329416667,68.90000153,64,2,0.0,2.107481559536354e-05,7.719558196604915
NonResidential,Small- and Mid-Sized Office,98144.0,2,GREATER DUWAMISH,47.58034,-122.31132,1.0,2,52554,0,"Office, Other - Education",Office,Other - Education,7849.0,Unknown,12311.108329416667,53.5,125,2,0.0,3.805609468356357e-05,3.2705797270317225
NonResidential,K-12 School,98103.0,6,NORTHWEST,47.68891,-122.33553,1.0,3,175015,0,K-12 School,K-12 School,Unknown,31733.045428599267,Unknown,12311.108329416667,45.09999847,71,1,0.0,1.7141387881038768e-05,9.200520935690125
NonResidential,Self-Storage Facility,98121.0,7,DOWNTOWN,47.61351,-122.35129,1.0,3,70586,0,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,Vocational School,28197.0,Office,3859.0,33.09999847,114,3,0.0,4.250134587595274e-05,1.652332173286413
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.60946,-122.33337,1.0,24,332210,205970,Hotel,Hotel,Unknown,31733.045428599267,Unknown,12311.108329416667,46.40000153,56,1,0.6199993979711628,7.224346046175612e-05,0.37479024632462005
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.6113,-122.33659,1.0,5,168115,0,"Data Center, Office, Retail Store",Office,Retail Store,65676.0,Data Center,493.0,56.29999924,52,3,0.0,2.974154596555929e-05,0.659465630825373
NonResidential,Other,98101.0,7,DOWNTOWN,47.61076,-122.33765,1.0,2,57428,0,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681.0,Unknown,12311.108329416667,21.60000038,105,4,0.0,3.482621717629031e-05,0.655903564412712
NonResidential,Small- and Mid-Sized Office,98101.0,7,DOWNTOWN,47.61048,-122.33794,1.0,8,59400,0,"Office, Retail Store",Office,Retail Store,4993.0,Unknown,12311.108329416667,88.30000305,115,2,0.0,0.00013468013468013467,0.6466605635135613
NonResidential,Mixed Use Property,98101.0,7,DOWNTOWN,47.60886,-122.33744,1.0,2,52549,0,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,Restaurant,23500.0,Office,5459.0,299.0,99,3,0.0,3.8059715693923765e-05,0.4977441472444875
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.61233,-122.33432,1.0,20,98634,10043,"Hotel, Parking, Restaurant",Hotel,Parking,10043.0,Restaurant,5000.0,57.29999924,95,3,0.10182087312691364,0.0002027698359592027,0.7016476485367689
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.61087,-122.33339,1.0,34,994212,146694,"Hotel, Parking, Swimming Pool",Hotel,Parking,117668.0,Swimming Pool,0.0,82.80000305,43,3,0.14754800786954894,3.419793766319457e-05,0.5282085835778653
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.60997,-122.34138,1.0,7,71150,0,"Hotel, Parking, Restaurant, Retail Store",Hotel,Parking,13730.0,Retail Store,9604.0,93.09999847,40,4,0.0,9.838369641602249e-05,0.8122363666065935
NonResidential,Hotel,98101.0,7,DOWNTOWN,47.61155,-122.34114,1.0,7,122810,0,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,Other - Entertainment/Public Assembly,26450.0,Retail Store,8000.0,49.59999847,117,3,0.0,5.6998615747903266e-05,0.9017584548679631
NonResidential,Hotel,98109.0,7,LAKE UNION,47.61986,-122.34413,1.0,5,113173,42546,"Hotel, Parking",Hotel,Parking,42546.0,Unknown,12311.108329416667,76.90000153,66,2,0.3759377236620042,4.4180148975462345e-05,1.7664428229655118
NonResidential,Hotel,98109.0,7,LAKE UNION,47.62001,-122.34274,1.0,7,150453,34735,Hotel,Hotel,Restaurant,3000.0,Unknown,12311.108329416667,61.79999924,25,1,0.23086944095498263,4.652615767050175e-05,1.730376252157303
NonResidential,Hotel,98109.0,7,LAKE UNION,47.62025,-122.34314,1.0,6,116300,28200,Hotel,Hotel,Parking,28300.0,Unknown,12311.108329416667,67.09999847,28,1,0.24247635425623387,5.159071367153912e-05,1.76793660311545
NonResidential,Hotel,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62023,-122.35951,1.0,6,155602,36744,Hotel,Hotel,Unknown,31733.045428599267,Unknown,12311.108329416667,44.0,27,1,0.23614092363851363,3.8559915682317705e-05,2.579808266538041
NonResidential,K-12 School,98136.0,3,EAST,47.63442,-122.30793,1.0,3,56072,0,K-12 School,K-12 School,Unknown,31733.045428599267,Unknown,12311.108329416667,67.80000305,114,1,0.0,5.350263946354687e-05,3.623288565422267
NonResidential,Hotel,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62519,-122.34456,1.0,4,122942,44891,"Hotel, Parking",Hotel,Parking,44891.0,Unknown,12311.108329416667,69.0,26,2,0.36513965935156417,3.253566722519562e-05,2.3089168491763554
NonResidential,Small- and Mid-Sized Office,98122.0,3,CENTRAL,47.60823,-122.30956,1.0,2,54984,0,Office,Office,Unknown,31733.045428599267,Unknown,12311.108329416667,66.0,63,1,0.0,3.637421795431398e-05,1.7048034385549709
NonResidential,Senior Care Community,98126.0,1,SOUTHWEST,47.55837,-122.37751,1.0,5,217603,0,"Parking, Senior Care Community",Senior Care Community,Parking,0.0,Unknown,12311.108329416667,153.6999969,103,2,0.0,2.2977624389369632e-05,6.315570690885822
NonResidential,Senior Care Community,98133.0,5,NORTHWEST,47.72426,-122.35599,1.0,2,93397,0,Senior Care Community,Senior Care Community,Unknown,31733.045428599267,Unknown,12311.108329416667,181.6000061,55,1,0.0,2.1413964045954367e-05,13.249013739528746
NonResidential,Hotel,98109.0,7,LAKE UNION,47.61988,-122.33211,1.0,6,84103,20732,"Hotel, Parking",Hotel,Parking,20732.0,Unknown,12311.108329416667,59.79999924,17,2,0.2465072589562798,7.134109365896579e-05,1.5211467811956034
NonResidential,Medical Office,98122.0,3,EAST,47.61244,-122.3214,0.0,3,179014,0,Medical Office,Medical Office,Unknown,31733.045428599267,Unknown,12311.108329416667,92.30000305,60,1,0.0,1.6758465818315887e-05,1.060590891428601
NonResidential,Hotel,98104.0,3,EAST,47.60898,-122.32693,1.0,7,76631,0,Hotel,Hotel,Unknown,31733.045428599267,Unknown,12311.108329416667,94.59999847,117,1,0.0,9.134684396654096e-05,0.4957606721919087
NonResidential,Mixed Use Property,98104.0,3,EAST,47.60845,-122.32637,1.0,6,99780,9341,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,Parking,20868.0,Office,17020.0,207.3000031,42,6,0.09361595510122268,6.0132291040288637e-05,0.4971160005901534
NonResidential,Retail Store,98109.0,7,LAKE UNION,47.62237,-122.33805,1.0,2,58320,0,Retail Store,Retail Store,Unknown,31733.045428599267,Unknown,12311.108329416667,17.20000076,96,1,0.0,3.429355281207133e-05,1.8525123151562095
NonResidential,Large Office,98109.0,7,LAKE UNION,47.62424,-122.33646,1.0,5,316306,0,"Office, Other, Parking, Retail Store",Office,Parking,150726.0,Other,15139.0,48.40000153,15,4,0.0,1.580747756918933e-05,2.0324045723525637
NonResidential,Hotel,98109.0,3,LAKE UNION,47.62642,-122.33325,1.0,7,282863,44766,"Hotel, Parking",Hotel,Parking,51537.0,Unknown,12311.108329416667,85.59999847,35,2,0.15826035925518714,2.47469623103764e-05,2.2500131827650556
Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1.0,1,389000,0,Other,Other,Unknown,31733.045428599267,Unknown,12311.108329416667,64.5,63,1,0.0,2.570694087403599e-06,2.4099546791383806
Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1.0,1,91213,0,Other,Other,Unknown,31733.045428599267,Unknown,12311.108329416667,125.9000015,63,1,0.0,1.0963349522546127e-05,2.4099546791383806
Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1.0,5,396085,0,Other,Other,Unknown,31733.045428599267,Unknown,12311.108329416667,76.30000305,87,1,0.0,1.2623553025234482e-05,2.4099546791383806
NonResidential,Large Office,98109.0,7,LAKE UNION,47.62112,-122.33629,1.0,12,571329,0,"Office, Other, Parking",Office,Parking,310699.0,Other,26203.0,64.19999695,15,3,0.0,2.1003659887735436e-05,1.6884967156192274
Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1.0,2,52000,0,Other,Other,Unknown,31733.045428599267,Unknown,12311.108329416667,51.59999847,63,1,0.0,3.846153846153846e-05,2.4195049252546657
Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1.0,1,60696,0,Other,Other,Unknown,31733.045428599267,Unknown,12311.108329416667,8.100000381,97,1,0.0,1.6475550283379465e-05,2.4195049252546657
Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35143,1.0,2,262048,0,Other,Other,Unknown,31733.045428599267,Unknown,12311.108329416667,70.30000305,97,1,0.0,7.632189522530223e-06,2.4484523379974927
NonResidential,Small- and Mid-Sized Office,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62391,-122.34837,0.0,2,66240,2352,"Data Center, Distribution Center, Office, Parking, Retail Store",Office,Data Center,5181.0,Distribution Center,4551.0,75.40000153,39,5,0.035507246376811595,3.0193236714975845e-05,2.316314620839061
NonResidential,Large Office,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62419,-122.34443,1.0,6,920598,303707,"Office, Other, Parking",Office,Parking,185014.0,Other,6000.0,51.79999924,15,3,0.3299018681335393,6.517502753644913e-06,2.2035821835407625
NonResidential,Small- and Mid-Sized Office,98033.0,7,MAGNOLIA / QUEEN ANNE,47.62053,-122.35842,1.0,4,76213,25930,"Office, Other, Parking",Office,Parking,21454.0,Other,2406.0,71.59999847,55,3,0.3402306693083857,5.24844842743364e-05,2.5360407360154773
NonResidential,Hotel,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62291,-122.35708,1.0,6,96910,36934,"Hotel, Parking",Hotel,Parking,36934.0,Unknown,12311.108329416667,87.90000153,23,2,0.3811164998452172,6.191311526158291e-05,2.6378967334988586
NonResidential,Hotel,98105.0,4,NORTHEAST,47.65772,-122.31756,2.0,4,50017,0,"Hotel, Swimming Pool",Hotel,Swimming Pool,0.0,Unknown,12311.108329416667,110.5,63,2,0.0,7.997280924485675e-05,5.831448646999225
NonResidential,K-12 School,98112.0,3,EAST,47.62548,-122.30828,1.0,3,67743,0,K-12 School,K-12 School,Unknown,31733.045428599267,Unknown,12311.108329416667,44.79999924,102,1,0.0,4.428501837828263e-05,2.7899652596016065
NonResidential,K-12 School,98112.0,3,EAST,47.62644,-122.30429,1.0,6,194104,0,K-12 School,K-12 School,Unknown,31733.045428599267,Unknown,12311.108329416667,37.09999847,117,1,0.0,3.091126406462515e-05,3.0676276263519813
NonResidential,Small- and Mid-Sized Office,98144.0,3,SOUTHEAST,47.58408,-122.30125,1.0,3,99433,35752,"Office, Parking",Office,Parking,35752.0,Unknown,12311.108329416667,78.19999695,22,2,0.35955869781662025,3.0171069966711254e-05,3.3765699091751253
NonResidential,Other,98115.0,4,NORTHEAST,47.67524,-122.31534,1.0,4,56521,0,Other,Other,Unknown,31733.045428599267,Unknown,12311.108329416667,129.8999939,84,1,0.0,7.077015622511986e-05,7.778911519790983
NonResidential,Other,98115.0,4,NORTHEAST,47.67559,-122.31769,1.0,2,206934,0,"Other, Parking",Other,Parking,0.0,Unknown,12311.108329416667,36.79999924,96,2,0.0,9.664917316632357e-06,7.790979214756324
NonResidential,Hotel,98133.0,5,NORTHWEST,47.73141,-122.3458,1.0,4,51390,0,"Hotel, Parking",Hotel,Parking,0.0,Unknown,12311.108329416667,70.40000153,24,2,0.0,7.783615489394824e-05,13.960459533348642
NonResidential,Hotel,98133.0,5,NORTHWEST,47.72551,-122.3423,1.0,3,69138,0,Hotel,Hotel,Unknown,31733.045428599267,Unknown,12311.108329416667,47.09999847,23,1,0.0,4.3391477913737744e-05,13.28863685186255
NonResidential,Hotel,98104.0,7,DOWNTOWN,47.6048,-122.3368,1.0,5,190980,0,"Hotel, Parking",Hotel,Parking,19051.0,Unknown,12311.108329416667,34.09999847,121,2,0.0,2.618075191119489e-05,0.38522023814261697
Nonresidential COS,Other,98111.0,7,DOWNTOWN,47.60804,-122.3367,1.0,6,284100,0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,Unknown,31733.045428599267,Unknown,12311.108329416667,78.40000153,27,1,0.0,2.1119324181626187e-05,0.4009820514189095
NonResidential,Hospital,98107.0,6,BALLARD,47.66737,-122.37956,4.0,5,285333,0,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),Parking,148865.0,Unknown,12311.108329416667,157.3000031,71,2,0.0,1.7523384957225417e-05,7.67525459104652
Nonresidential COS,Other,98104.0,2,DOWNTOWN,47.60112,-122.32785,1.0,4,61156,0,"Office, Other",Other,Office,29219.0,Unknown,12311.108329416667,132.6999969,19,2,0.0,6.540650140623977e-05,0.6485436391850385
NonResidential,Other,98104.0,2,DOWNTOWN,47.59809,-122.32283,1.0,4,72820,13820,Museum,Museum,Unknown,31733.045428599267,Unknown,12311.108329416667,36.09999847,115,1,0.1897830266410327,5.492996429552321e-05,1.1385469242616286
NonResidential,Hotel,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62614,-122.3467,1.0,4,162222,14200,"Hotel, Parking",Hotel,Parking,32692.0,Unknown,12311.108329416667,70.5,29,2,0.08753436648543354,2.4657568024065787e-05,2.4725913212611976
NonResidential,University,98122.0,3,EAST,47.61495,-122.32177,1.0,3,63330,0,College/University,College/University,Unknown,31733.045428599267,Unknown,12311.108329416667,50.70000076,110,1,0.0,4.737091425864519e-05,1.2435037788054988
Campus,University,98106.0,1,DELRIDGE,47.547,-122.35307,27.0,2,441071,0,College/University,College/University,Unknown,31733.045428599267,Unknown,12311.108329416667,85.19999695,55,1,0.0,4.534417361377193e-06,6.7680743001175205
NonResidential,Small- and Mid-Sized Office,98115.0,4,NORTHEAST,47.67828,-122.26456,1.0,2,96300,0,"Data Center, Office",Office,Data Center,4944.0,Unknown,12311.108329416667,167.3999939,23,2,0.0,2.0768431983385256e-05,9.478534167435319
Nonresidential COS,Other,98134.0,2,GREATER DUWAMISH,47.59545,-122.32146,1.0,1,67356,0,"Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",Unknown,31733.045428599267,Unknown,12311.108329416667,118.3000031,75,4,0.0,1.4846487321099828e-05,1.437107583640421
NonResidential,Small- and Mid-Sized Office,98118.0,2,GREATER DUWAMISH,47.53827,-122.28406,1.0,1,54765,0,"Office, Other",Office,Other,25000.0,Unknown,12311.108329416667,88.69999695,67,2,0.0,1.8259837487446362e-05,8.369171739386019
NonResidential,Other,98118.0,2,GREATER DUWAMISH,47.53722,-122.284,1.0,5,89821,0,"Food Service, Office, Other - Lodging/Residential",Other - Lodging/Residential,Office,37938.0,Food Service,4579.0,25.0,16,3,0.0,5.566626958061032e-05,8.476626554687693
NonResidential,University,98119.0,7,MAGNOLIA / QUEEN ANNE,47.65147,-122.36122,1.0,2,52611,0,College/University,College/University,Unknown,31733.045428599267,Unknown,12311.108329416667,83.40000153,45,1,0.0,3.801486381175039e-05,5.486439226858629
NonResidential,Residence Hall,98119.0,7,MAGNOLIA / QUEEN ANNE,47.65068,-122.36331,1.0,4,139600,37500,Residence Hall/Dormitory,Residence Hall/Dormitory,Unknown,31733.045428599267,Unknown,12311.108329416667,35.40000153,24,1,0.2686246418338109,2.865329512893983e-05,5.471061460586346
NonResidential,Other,98122.0,3,CENTRAL,47.60462,-122.31549,3.0,6,250981,0,"Courthouse, Other",Other,Courthouse,78357.0,Unknown,12311.108329416667,65.69999695,54,2,0.0,2.3906192102191e-05,1.2576047892977165
NonResidential,Other,98101.0,7,DOWNTOWN,47.61598,-122.33448,1.0,11,299070,68432,Other,Other,Unknown,31733.045428599267,Unknown,12311.108329416667,264.0,21,1,0.22881599625505736,3.678068679573344e-05,1.1020242943870235
NonResidential,Small- and Mid-Sized Office,98108.0,2,GREATER DUWAMISH,47.536,-122.31768,1.0,3,64015,0,"Non-Refrigerated Warehouse, Office, Other - Services",Office,Non-Refrigerated Warehouse,15000.0,Other - Services,9015.0,62.5,18,3,0.0,4.6864016246192296e-05,7.880488628520806
NonResidential,Retail Store,98125.0,5,NORTH,47.70759,-122.3255,1.0,1,530039,0,"Restaurant, Retail Store",Retail Store,Restaurant,24936.0,Unknown,12311.108329416667,54.29999924,74,2,0.0,1.886653623601282e-06,11.284885459117925
NonResidential,Other,98125.0,5,NORTH,47.7066,-122.321,1.0,3,54224,0,Other/Specialty Hospital,Other/Specialty Hospital,Unknown,31733.045428599267,Unknown,12311.108329416667,163.1000061,61,1,0.0,5.5326054883446446e-05,11.194883407977466
NonResidential,Retail Store,98125.0,5,NORTH,47.70619,-122.32586,1.0,4,124342,0,Retail Store,Retail Store,Unknown,31733.045428599267,Unknown,12311.108329416667,71.59999847,60,1,0.0,3.216933940261537e-05,11.12819934493839
NonResidential,Hospital,98105.0,4,NORTHEAST,47.66231,-122.28146,6.0,10,879000,0,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Unknown,31733.045428599267,Unknown,12311.108329416667,293.2000122,72,1,0.0,1.1376564277588169e-05,7.302383525249743
NonResidential,Other,98133.0,5,NORTHWEST,47.70956,-122.3345,1.0,3,55442,0,"Financial Office, Medical Office, Parking",Financial Office,Parking,15385.0,Medical Office,8644.0,88.90000153,29,3,0.0,5.411060207063237e-05,11.494513164925912
NonResidential,Self-Storage Facility,98122.0,3,EAST,47.61233,-122.3171,1.0,5,84870,0,Self-Storage Facility,Self-Storage Facility,Unknown,31733.045428599267,Unknown,12311.108329416667,18.89999962,115,1,0.0,5.8913632614587014e-05,1.3149452450020531
Campus,University,98103.0,5,NORTHWEST,47.69936,-122.33401,11.0,2,694072,111625,College/University,College/University,Unknown,31733.045428599267,Unknown,12311.108329416667,56.09999847,55,1,0.16082625433672587,2.8815454304452565e-06,10.359907244428317
NonResidential,Warehouse,98108.0,2,GREATER DUWAMISH,47.55152,-122.31869,1.0,4,114297,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Unknown,31733.045428599267,Unknown,12311.108329416667,21.10000038,121,1,0.0,3.499654409127099e-05,6.162780925183555
